Date,Open,High,Low,Close,Volume
2016. 5. 2,91.01,91.02,90.51,90.53,163225
2016. 5. 3,91.14,91.24,90.68,91.08,134666
2016. 5. 4,91.02,91.24,90.58,91.24,134001
2016. 5. 5,91.2,91.58,91.07,91.58,164292
2016. 5. 6,91.58,91.58,91.12,91.42,229510
2016. 5. 9,91.25,91.47,91.1,91.22,395865
2016. 5. 10,91.29,91.29,91,91.05,191890
2016. 5. 11,91.2,91.71,91.02,91.57,82824
2016. 5. 12,91.17,91.41,91.1,91.24,92477
2016. 5. 13,91.53,91.53,91.14,91.41,90471
2016. 5. 16,91.5,91.53,90.82,90.86,281563
2016. 5. 17,91.16,91.4,90.82,90.89,55052
2016. 5. 18,90.61,90.68,89.52,89.75,308509
2016. 5. 19,89.62,90,89.52,89.64,126724
2016. 5. 20,89.82,90.2,89.66,90.06,62652
2016. 5. 23,90.21,90.3,89.75,90.22,74637
2016. 5. 24,90.14,90.14,89.74,89.93,150661
2016. 5. 25,89.93,89.93,89.54,89.77,152602
2016. 5. 26,90.25,90.47,89.95,90.35,66279
2016. 5. 27,90.35,90.46,90.03,90.4,107682
2016. 5. 31,90.22,90.7,90.03,90.59,97128
2016. 6. 1,90.59,90.7,90.2,90.3,92207
2016. 6. 2,90.03,90.79,90.03,90.75,150297
2016. 6. 3,90.95,91.76,90.95,91.76,73300
2016. 6. 6,91.7,91.75,91.41,91.49,268907
2016. 6. 7,91.5,91.84,91.5,91.69,69263
2016. 6. 8,91.94,92.14,91.87,92.14,66395
2016. 6. 9,92.59,92.66,92.22,92.44,117560
2016. 6. 10,92.66,92.94,92.47,92.56,109043
2016. 6. 13,92.59,92.75,92.4,92.75,66663
2016. 6. 14,93,93,92.4,92.52,160050
2016. 6. 15,92.73,92.98,92.59,92.59,148545
2016. 6. 16,92.67,93.14,92.66,92.95,69155
2016. 6. 17,92.78,92.8,92.51,92.6,240981
2016. 6. 20,92.4,92.44,92.16,92.35,101628
2016. 6. 21,91.88,92.35,91.85,91.94,73867
2016. 6. 22,91.76,92.48,91.7,92.14,81084
2016. 6. 23,92.12,92.45,91.89,92.07,139620
2016. 6. 24,92.87,92.9,92.43,92.66,130637
2016. 6. 27,94.27,94.47,93.53,93.92,439750
2016. 6. 28,94.55,94.9,94.07,94.72,448146
2016. 6. 29,94.95,95,94.39,94.55,495267
2016. 6. 30,94.8,94.92,94.37,94.54,340494
2016. 7. 1,94.74,95.34,94.54,95.21,286241
2016. 7. 5,95.8,96.5,95.59,96.21,266728
2016. 7. 6,96.59,96.59,95.8,96.37,157736
2016. 7. 7,96.5,96.63,95.85,96.48,153168
2016. 7. 8,97.11,97.36,96.66,97.28,179473
2016. 7. 11,97.28,97.64,97.21,97.4,388301
2016. 7. 12,96.81,96.84,95.93,96.06,257546
2016. 7. 13,96.59,96.81,96.32,96.58,183541
2016. 7. 14,96.19,96.3,95.91,96.2,82419
2016. 7. 15,96.1,96.15,95.21,95.21,253541
2016. 7. 18,95.46,95.47,94.8,95.15,251017
2016. 7. 19,95.51,95.72,95.26,95.72,118359
2016. 7. 20,95.69,95.69,95.15,95.69,198754
2016. 7. 21,95,95.83,94.97,95.69,117518
2016. 7. 22,95.49,96,95.25,95.86,65252
2016. 7. 25,95.88,96.04,95.54,95.65,85691
2016. 7. 26,96.11,96.11,95.5,95.65,73935
2016. 7. 27,96.05,96.48,95.87,96.41,145598
2016. 7. 28,96.3,96.39,96.06,96.29,334106
2016. 7. 29,96.32,96.68,96.17,96.62,212627
2016. 8. 1,96.22,96.22,95.39,95.6,256905
2016. 8. 2,94.95,95,94.32,94.55,215506
2016. 8. 3,94.61,94.75,94.32,94.53,112330
2016. 8. 4,95.17,95.48,95.02,95.3,131283
2016. 8. 5,95.22,95.22,94.51,94.71,86326
2016. 8. 8,94.65,95.09,94.4,94.94,89971
2016. 8. 9,95.3,95.89,95.13,95.74,161148
2016. 8. 10,96.09,96.24,95.74,96.19,175307
2016. 8. 11,96.24,96.25,95.5,95.69,85182
2016. 8. 12,96.25,96.59,96.03,96.33,80603
2016. 8. 15,96.25,96.3,95.74,95.88,180180
2016. 8. 16,96.13,96.22,95.37,95.61,441278
2016. 8. 17,95.95,96.28,95.51,96.13,83746
2016. 8. 18,96.28,96.44,96.03,96.33,148606
2016. 8. 19,96.04,96.14,95.66,95.97,68921
2016. 8. 22,96.48,96.6,96.25,96.48,112777
2016. 8. 23,96.91,96.96,96.55,96.68,84404
2016. 8. 24,96.83,96.95,96.48,96.54,60930
2016. 8. 25,96.57,96.6,96.17,96.22,83709
2016. 8. 26,96.5,96.91,95.77,95.98,231301
2016. 8. 29,96.2,96.85,96.11,96.81,219865
2016. 8. 30,96.8,96.87,96.5,96.5,105715
2016. 8. 31,96.46,96.64,96.26,96.45,89898
2016. 9. 1,95.59,96.18,95.4,95.94,169061
2016. 9. 2,96,96,95.31,95.71,175382
2016. 9. 6,95.51,96.11,95.51,95.93,249728
2016. 9. 7,96.53,96.53,95.93,95.99,90304
2016. 9. 8,95.83,95.83,94.84,94.94,136554
2016. 9. 9,94.5,94.5,93.5,93.6,420363
2016. 9. 12,93.33,94.07,93.31,93.88,306906
2016. 9. 13,94.13,94.13,92.74,93.14,379856
2016. 9. 14,93.03,93.54,93.03,93.18,93373
2016. 9. 15,93.05,93.25,92.74,93.11,123535
2016. 9. 16,93.23,93.63,93.15,93.63,135654
2016. 9. 19,93.53,93.7,93.34,93.5,161905
2016. 9. 20,94,94.21,93.7,93.97,199077
2016. 9. 21,93.85,94.57,93.6,94.57,126929
2016. 9. 22,94.92,95.52,94.88,95.39,335954
2016. 9. 23,95.42,95.43,95.06,95.13,121354
2016. 9. 26,95.19,95.45,95.12,95.39,63728
2016. 9. 27,95.81,95.86,95.53,95.83,244564
2016. 9. 28,96.03,96.05,95.79,96.02,159000
2016. 9. 29,95.81,96.09,95.6,95.98,376901
2016. 9. 30,96.18,96.18,95.2,95.7,1039517
2016. 10. 3,95.32,95.67,94.94,94.94,143097
2016. 10. 4,94.91,95.01,94.18,94.19,171674
2016. 10. 5,94.43,94.49,94.01,94.25,299140
2016. 10. 6,94.3,94.35,94.02,94.14,79755
2016. 10. 7,94.54,94.57,93.85,94.4,196599
2016. 10. 10,94.73,94.73,94.01,94.39,61970
2016. 10. 11,94.24,94.36,93.93,93.97,82008
2016. 10. 12,93.91,94.06,93.55,94.05,218993
2016. 10. 13,94.36,94.86,94.36,94.62,297313
2016. 10. 14,94.4,94.45,93.72,93.76,76500
2016. 10. 17,94.2,94.2,93.88,93.99,116059
2016. 10. 18,94,94.42,93.87,94.41,104451
2016. 10. 19,94.32,94.62,94.25,94.59,190747
2016. 10. 20,94.85,94.99,94.69,94.89,268510
2016. 10. 21,94.99,95.08,94.74,95.05,221200
2016. 10. 24,95.11,95.11,94.41,94.64,200154
2016. 10. 25,94.54,94.67,94.32,94.51,144654
2016. 10. 26,94.31,94.32,93.81,93.87,109766
2016. 10. 27,93.52,93.52,92.75,92.96,113747
